小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
荣盛名邸(公寓),31765,松江 莘闵,莘松路1500弄,小高层,1.40元/平米/月,商品房住宅,1.60,558户,46%,2012年,371个,上海万宇房地产开发有限公司,上海新贵盛物业公司,121.34367096657361,31.099513855590004
金桂小区,82859,浦东 花木,"牡丹路258弄,牡丹路340弄,牡丹路259弄",多层,0.55元/平米/月,商品房住宅,1.80,暂无数据,暂无数据,1996年,暂无数据,上海建工集团,上海浦东新区花木物业公司,121.5560457501566,31.213687500669003
保利金爵公寓,52383,浦东 唐镇,创新西路300弄,低层|小高层,2.50元/平米/月,商品房住宅,1.60,366户,30%,2009年,保利金爵公寓有150个车位,上海保利金鹏置业有限公司,上海保利物业公司,121.65962298054305,31.209474846079928
乐活天地四维尔时代广场,16511,青浦 香花桥,北青公路10092号,高层,0.00元/平米/月,商业,1.20,暂无数据,30%,2017年,暂无数据,暂无数据,暂无数据,121.1201500082228,31.19497255370164
阳城贵都,66038,静安 阳城永和,阳城路280弄,小高层,1.73元/平米/月,商品房住宅,0.00,1020户,45%,2007年,770,上海阳城花园房地产有限公司,上海大华物业管理有限公司,121.43249218150038,31.291544746822026
小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
民惠佳苑三期,16135,青浦 香花桥,久业路1900弄,多层,0.00元/平米/月,动迁配套房,0.00,暂无数据,暂无数据,2018年,暂无数据,上海浦西房地产开发有限公司,暂无数据,121.1233206673508,31.221903562026764
控江四村,56519,杨浦 控江路,控江四村1-165号,多层,0.70元/平米/月,商品房住宅,2.00,720户,38%,1989年,控江四村是老公房，停车位225个，都是地面车位,老上海黄兴房产开发公司,卫百辛物业,121.53167966235121,31.29118794867412
虹桥机场新村,43491,长宁 虹桥路,虹桥机场新村9-299号,多层|小高层,1.00元/平米/月,商品房住宅,1.00,2880户,30%,1988年,地面车位200个,机场建设配套有限责任公司,华龙物业管理有限公司,121.36709302511856,30.95375339974548
小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
伟业金锦苑三村,54584,浦东 金桥,东波路585弄,多层,0.50元/平米/月,商品房住宅,1.80,1296户,30%,2003年,230个停车位,上海浦东伟业房地产开发总公司,上海兴晖物业管理有限公司,121.59316014060686,31.29112985794926
小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
汇成苑五村,61098,徐汇 上海南站,百色路1107号,多层,1.00元/平米/月,商品房住宅,1.20,1656户,35%,1991年,停车位的比例是1:0.8,汇成地产,上海汇成物业有限公司,121.44189160120405,31.14841889484456
