小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
华业东方玫瑰,54788,通州 梨园,"梨园南街,近临河里路",高层,2.50元/平米/月,商品房住宅,3.12,7300户,35%,2006年,规划机动车停车位数量5800个，其中地上约1000个，地下约4800个。住宅的机动车车位配比为1：0.7。,北京君合百年房地产开发有限公司,深圳华业物业管理公司,116.6915560355816,39.885909106734324
甘露家园,58930,朝阳 甘露园,朝阳路,高层,0.55元/平米/月,商品房住宅,2.50,3500户,30%,1975年,500个,北京通衢房地产开发有限责任公司,宏运承物业管理中心,116.52112960405913,39.923959396933526
天裕昕园(东区),26924,顺义 后沙峪,天北路,高层,3.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,北京天竺房地产开发公司,空港物业,116.53443844934222,40.09058951988557
珠江绿洲家园,49663,朝阳 定福庄,建国路18号,小高层|高层|超高层,2.48元/平米/月,商品房住宅,3.80,2300户,60%,2003年,地表车位150元/月 地下车位420元/月，2300个停车位,上海国家863软件专业孵化器基地物业管理有限公司,北京珠江世纪物业管理有限公司,116.56775076172148,39.913965431139495
吉祥里小区,90816,朝阳 朝外大街,朝外北街,多层|高层,2.00元/平米/月,商品房住宅,2.46,3000户,25%,1996年,3500个,上海豪景物业管理有限公司,北京东旭佳业物业管理有限责任公司,116.4449707239399,39.931809384042324
亢山前路1号院,42553,昌平 昌平县城,亢山前路1号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1996年,暂无数据,暂无数据,无,116.25975626763754,40.22217620247564
兴华嘉园西区,22222,通州 马驹桥,兴华南街,多层,0.00元/平米/月,小产权房,1.60,暂无数据,36%,2015年,暂无数据,北京海龙家园房地产开发有限公司,北京市均豪物业管理股份有限公司,116.55850944378759,39.75974899906144
和乔丽致,93577,朝阳 CBD,光华路甲8号,高层,5.50元/平米/月,商品房住宅,4.00,暂无数据,26%,2003年,暂无数据,北京奥德房地产开发有限公司,北京和乔物业管理公司,116.47801713788822,39.91793137429917
杨闸新村,25556,朝阳 管庄,朝阳路,高层,0.00元/平米/月,动迁配套房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.6149850128944,39.91731607752669
赵堂子胡同12号院,95164,东城 建国门,赵堂子胡同12号,多层,1.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,无,亿方物业,116.43523288829638,39.92007240246081
