小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
杨闸新村,25556,朝阳 管庄,朝阳路,高层,0.00元/平米/月,动迁配套房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.6149850128944,39.91731607752669
K2海棠湾,58703,通州 梨园,云景东路,多层|高层,2.80元/平米/月,商品房住宅,2.90,2333户,30%,2008年,1205个,北京亚通房地产开发有限责任公司,浙江绿城物业管理有限公司,116.67156280916822,39.875657737733526
北京新天地(西区),56087,朝阳 管庄,朝阳路7号,小高层|高层,1.98元/平米/月,商品房住宅,3.10,暂无数据,30%,2004年,暂无数据,杉岛咖啡、诺诗雅美容,安泰祥物业管理有限公司,116.61147200953651,39.92032409599439
天之骄子,82380,朝阳 双井,东柏街9号,高层,3.00元/平米/月,商品房住宅,2.73,707户,33%,2005年,户均一个，600元/月,上海云都物业管理有限公司,香港中原物业,116.47206298930698,39.90150314893908
清岚花园(东区),36637,顺义 中央别墅区,俗安路,多层,0.98元/平米/月,商品房住宅,1.10,暂无数据,30%,2006年,暂无数据,北京裕鑫房地产开发公司,北京裕鑫龙腾物业管理公司,116.55030171617346,40.126380663438795
华瀚国际,79703,朝阳 百子湾,世纪东方城102号,高层,4.68元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2010年,暂无数据,上海漕河泾物业管理有限公司,北京森茂物业管理有限公司,116.49941378699982,39.88481398834109
龙德紫金,30468,昌平 天通苑,立汤路186号,高层,0.00元/平米/月,办公,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.4185960250142,40.102616059282084
富莱茵花园,66447,东城 永定门,沙子口路,高层,1.29元/平米/月,商品房住宅,3.60,1284户,40%,1990年,小区停车位350个，出租150-300元/月,北京鸿运置业股份有限公司,北京富莱茵物业公司,116.4144194433761,39.866905706486264
海淀路社区,91665,海淀 北京大学,北四环西路,多层|小高层|高层,0.50元/平米/月,商品房住宅,3.00,1630户,20%,1987年,车位充足,"上海丝绸模特时装团,上海京络医疗有限公司",业主自管,116.31999962918893,39.99195834801464
双合小区C区(建工双合家园C区),44667,朝阳 垡头,双合中路3号,高层,1.83元/平米/月,经济适用房,2.57,暂无数据,30%,2004年,暂无数据,上海绿哲实业有限公司,北京建工物业服务有限公司,116.53383640498943,39.86430570643977
